judul	bahan	langkah
tumis pare ikan asar	buah pare, ekor ikan asar, lembar daun salam, ruas lengkuas, air, garam, kaldu ayam, buah tomat iris, santan instan, minyak tum, bawang merah, bawang putih, buah cabe merah, jahe, kunyit	siap bahanbahan iris pare remas garam. cuci tiris suwir ikan asar. panas minyak tumis bumbu halus harum tambah lengkuas. daun salam. tomat. air. masuk pare ikan asar tambah garam kaldu jamur tambah santan instan aduk masak matang. tumis pare ikan asar saji selamat nikmat
ikan patin asam manis	bahan utama, fillet ikan patin, buah jeruk nipis, minyak goreng, bahan marinasi, ketumbar bubuk, bawang putih bubuk, lada bubuk, garam, bahan lap, tepung bumbu serbaguna air, tepung maizena, bahan saus asam manis, buah bawang bombai, bawang putih, buah wortel potong korek api, margarine, tepung maizena air, saus tomat, saus tiram, cuka, gula pasir, garam, lada bubuk, air	cuci bersih fillet ikan potong potong kucur air jeruk nipis diam menit cuci tiris bumbu marinasi diam jam. tunggu marinasi siap bahan lap. bahan saus asam manis tumis bawang putih bawang bombai harum margarine masuk wortel tumis layu tambah air masuk saus bumbu aduk tes masuk campur tepung maizena kental angkat sisih. masuk fillet ikan adon tepung bumbu basah guling tepung maizena kering laku habis goreng matang kuning. saji tata fillet ikan goreng piring siram saus asam manis hmmm yummy
sewir tongkol pedas	bungkus pindang tongkol, gula, garam, sedap, kecap manis, air, minyak, bawang putih, siang bawang merah, cabe keriting, buah tomat	tongkol sewir. . . goreng sebentar. siap bumbu ulek cabe kepiting. tomat. bawang merah bawang putih ulek halus masuk minyak goreng matang. matang bumbu masuk sewir yg goreng kasih air tunggu matang gula garam masako kecap manis sewir hidang
sayur pedas terong ikan salai	ekor ikan salai iwak pe, cuci bersih, genggam kacang, potong, buah labu siam, kupas, potong kotak, buah terong ungu, potong kotak, buah cabe hijau, potong tebal, lembar daun jeruk, lembar daun salam, bawang merah, bawang putih, genggam cabe merah keriting rawit selera, kemiri sangrai, garam, kaldu jamur bubuk, gula merah gula palm, liter santan, batang daun bawang, iris	tumis bumbu halus minyak matang tambah potong cabe hijau santan. aduk. masuk daun jeruk. daun salam. ikan salai potong terong bumbu garam. gula merah kaldu bubuk. aduk. masuk kacang labu siam. aduk masak bumbu resap koreksi sesuai selera angkat. iris daun bawang saji
ikan kembung asam pedas	ekor ikan kembung, buah jeruk nipis, air, jempol asam jawa air remas buang ampas nya, garam, gula pasir, kaldu bubuk, bawang merah, bawang putih, ruas jahe, kemiri, buah cabe merah keriting, terasi bubuk matang, batang serai keprek, lembar daun jeruk, jempol lengkuas keprek	siap bahan. sih ikan peras air jeruk nipis diam menit. sisih. panas minyak tumis bahan aromatik wangi. masuk bumbu halus tumis bumbu tanak wangi air asam tumis tambah air. masak didih. seasoning aduk masuk ikan. masak ikan matang bumbu resap cek asa asam pedas nya yaa. mati api saji nasi hangat lalap daun selada potong timun lalap
ikan goreng sambal iris bawang merah	ekor ikan kembung goreng, buah jeruk nipis, bawang putih, kunyit, jahe, garam, bawang merah, iris halus, cabe merah keriting, iris tipis, buah cabe rawit hijau, iris kasar, air jeruk nipis, terasi bubuk, garam, gula pasir	siang ikan keratkerat badan ukur lumur ikan bumbu halus sisih sebentar. panas minyak api goreng ikan matang kering angkat tiris ikan. sambal iris bawang merah campur aduk bahan satu diam menit. taruh ikan piring saji. siram sambal iris bawang merah
ikan nila kuah asam pedas	ekor ikan nila, resep asli ikan nila, kemangi, batang serai, geprek, lembar daun salam, buah tomat, potong, , gula pasir, garam, kaldu ayam, air, buah cabai rawit merah, tambah, buah cabai rawit hijau, tambah, air jeruk nipis sesuai, tambah, bumbu halus, bawang merah, bawang putih, buah cabai merah, lada bubuk, kemiri, kunyit, bumbu marinasi, bawang putih ulek halus, resep asli cincang halus, ruas kunyit, ulek halus, garam, , air	siap ikan marinasi jam. goreng kuning cokelat. siap bumbu halus. tumis bumbu halus serai daun salam. masak bumbu harum matang. tambah air didih. masuk ikan nila goreng cabai rawit merah hijau tomat. air jeruk. gula. garam kaldu ayam masak didih. kemangi suka aduk sebentar koreksi angkat. saji
ikan kwee goreng bumbu marinasi	ikan kwee, sih peras jeruk nipis garam, bawang putih, ruas jari kunyit, jempol jahe, garam sedap, sambal kecap	marinasi ikan bumbu marinasi. diam jam malam. panas minyak. goreng matang. saji sambal kecap
dadar telur sarden	kaleng sarden, buang saus sisa, telur, bawang bombay, maizena, minyak goreng foto, bawang putih bubuk, garam, merica bubuk, lembar daun jeruk, rajang	siap bahanbahan rajang bawang bombay daun jeruk sisih. campur tepung maizena bumbubumbu aduk buka sarden buang saus sisa hancur daung ikan sarden halus. campur sarden tepung bumbu. pecah telur aduk bergerindil masuk rajang bawang bombay jeruk nipis aduk. adon campur. panas wajan minyak ambil sendok sayur goreng sisi kering pakai minyak goreng sisa minyak bergelumbung bayak. sisi kering saji
asam padeh lele	gram ikan lele segar, buah jeruk nipis, buah putih skip, air, buah blimbing wuluh, ganti buah tomat hijau, cabe rawit hijau belah, biji asam jawa cair air panas, garam, kaldu jamur, ons cabe merah kriting, bawang merah, bawang putih, ruas jahe, ruas kunyit, lembar daun kunyit, lembar daun jeruk, batang sereh, lengkuas	cuci bersih ikan yg siang lumur air jeruk nipis garam. siap bumbu. cuci bersih. blender bumbu halus jgn lupa air sdikit cepat halus tuang wajan. tambah air. nyala kompor. masak didih masuk bumbu rempah. air asam garam. aduk. tambah lele. masak ubah warna masuk tomat cabe rawit yg dipotongpotong kaldu jamur. masak air susut bumbu resap dlm ikan cek. angkat saji
