judul	bahan	langkah
kue ape khas betawi	gram tepung beras rose brand, gram tepung terigu, telur ayam, gula pasir, baking powder, baking soda, garam, santan, warna makan, minyak goreng rose brand oles	siap bahanbahannya. campur bahan kecuali baking soda. aduk campur. saring adon. resting adon minimal menit jam. resting tambah baking soda aduk. panas wajan oles minyak goreng rose brand. tuang lingkar pinggir wajan. pinggir nya cokelat tutup wajan. saji selagi hangat
pukis cokelat	terigu, gula pasir rose brand, ragi instan, air hangat, g tepung terigu, g gula pasir rose brand, telur, susu cair, sachet skm cokelat, cokelat bubuk, g margarin cair rose brand, selai cokelat, meses cokelat	siap bahan biang. aduk diam berbiuh. leleh margarin. sisih. campur telur gula aduk. tambah terigu. cokelat bubuk susu cair. masuk skm bahan biang aduk. tambah margarin cair. aduk diam adon menit panas teflon. panas tuang adon pukis cetak. tutup biar menggembang matang pakai api cenderung. angkat pukis. oles muka selai cokelat tabur meses. sajiakan. enjoy
kue talam pandan	gram tepung beras rose brand, jus daun pandan suji, gram kelapa parut, gula pasir, garam, gram tepung beras rose brand, air, gram kelapa parut, garam, minyak goreng rose brand oles	siap daun pandan. daun suji cuci bersih tambah air. blender halus. saring air siap bahanbahannya. siap mangkuk. tuang parut kelapa tambah air. sisih santan nya tambah air daun pandan suji peras santan nya. panci masuk tepung beras rose brand didih santan daun suji tambah gula pasir garam aduk. masak gula larut didih. hangat. tuang air santan daun suji dalam tepung beras rose brand aduk. saring. kukus panas nya tuang adon dalam cetak kue talam oles minyak goreng rose brand. kukus menit. siap tepung beras rose brand wadah. masak santan garam hangat. tuang santan dalam wadah tepung beras rose brand aduk. tuang atas adon hijau. kukus menit. angkat keluar cetak
kue lumpur kentang	gram kentang kukus halus, gram tepung terigu protein, gula pasir rose brand warna hijau premium, telur, santan, gram margarin rose brand cair, garam, vanili susu la rome, bengbeng topping	cair margarin rose brand. tunggu uap panas hilang. sisih kocok gula pasir rose brand warna hijau premium telur gula larut. tambah kentang kukus. vanili susu garam aduk campur. saring adon. tambah tepung terigu. santan tahap aduk. tambah margarin rose brand cair aduk campur. panas cetak oles margarin rose brand. tuang adon dalam cetak. masak matang. matang topping bengbeng tengah nya. tutup cetak. matang angkat. arang masak aroma sedap masak arang. anak nya gak kue lumpur beli. lahap makan nya
brownies kukus lumer	telur, gula pasir sy, sp, tepung terigu, cokelat bubuk, margarin, dcc, susu cair, kental manis sy, cokelat bubuk, dcc, maezena, butter, sprinkle	brownies mixer telur. gula sp pucat kental. leleh margarin dcc metode double boiler sisih. masuk terigu cokelat bubuk adon telur ayak aduk masuk cokelat leleh. aduk yg endap homogen. panas kukus uap tuang adon loyang x yg baking paper kukus api menit angkat langsung keluar loyang. potongpotong masuk cup x. cokelat ganache masuk bahan wajan masak api didih. tuang cup saji
chocolate crinkles cookies	telur ukur, gula pasir, cokelat bubuk, tepung terigu, minyak goreng, baking powder wajib, garam, vanili bubuk, icing sugar gula pasir halus	mixer telur gula pasir gula larut. masuk cokelat bubuk. mixer masuk tepung terigu. baking powder. garam. vanili bubuk. mixer. masuk minyak goreng. aduk simpan adon freezer jam. jam. cetak adon buah sendok bentuk bulat. guling icing sugar susun loyang panas oven menit panggang suhu derajat celcius menit matang bawah kering matang. keluar oven. saji
choco pound cake	telur, margarin, gula pasir, tepung terigu pro, bubuk cokelat, chocochip, essen vanila, jumput garam	panas oven suhu derajat celsius tunggu oven panas adon mixer margarin creamy masuk gula pasir pakai gula halus aduk campur aja. masuk telur satu tepung terigu. bubuk cokelat. garam essence vanila mixer sebentar campur bahan. terigu choco chip. fungsi choco chip tenggelam adon tambah choco chip adon aduk tuang adon loyang oles margarin alas baking paper. oven panas masuk loyang oven panggang menit sesuai oven masingmasing tusuk tusuk gigi tes matang dingin potongpotong sesuai
bolu gulung	btr telur, sp, gula pasir, tepung terigu, margarin cair, butter cream pakai, keju parut	panas oven suhu mixer bahan kecuali margarin cair mixer kental jejak menit. masuk margarin cair. aduk. masuk loyang uk x yg sdh alas kertas roti. sisa adon pasta cokelat motif. panggang menit api turun suhu panggang api menit. matang. bolu lap bersih. lepas kertas roti gulung perlahan. tunggu suhu ruang note isi selai langsung isi tunggu dingin. dingin oles butter cream tambah keju parut gulung padat simpan lemari es set potong
brownies cheese	keju oles, susu kental manis, btr telur, gula, margarin, dark cooking chocolate, terigu, cokelat bubuk	campur keju oles skm. aduk. sisih. leleh margarin dcc. sisih. kocok telur gula pasir larut. masuk leleh cokelat margarin. aduk. masuk terigu cokelat bubuk. aduk. tuang adon brownies loyang yg alas kertas roti. tuang adon keju atas panggang menit suhu c oven sdh panas tes matang dgn tusuk gigi. santap
browkies brownies cookies	gram dcc, gram margarin, telur gram dgn kulit, gram gula pasir rosebrand, blender, gram tepung terigu, vanila, cubit garam, gram cokelat bubuk, chocochip, gram margarinmentega, gram gula rosebrand, blender, gram telur, cubit garam, vanila, gram tepung terigu, baking soda, gram chocochip	leleh dcc margarin tim angkat biar hangat. kocok telur. gula rosebrand. garam vanila gula larut. whisk. masuk tepung cokelat bubuk ayak aduk rata whisk tuang leleh dccnya aduk lahan. oles loyang carlo alas baking paper tuang adon rata loyang. hentakkan tabur almond sisih masuk loyang kulkas sebentar. set adon cookies tenggelam tuang. campur gula rosebrand margarin. aduk whisk lembut. masuk telur. garam vanila. aduk rata. tuang tepung baking soda ayak. aduk rata. tabur chocochip. aduk rata. tuang adon atas muka adon brownies. panas oven suhu c menit. api panggang adon menit sesuai oven masingmasing angkat biar suhu ruang potong sesuai selera
bolu ketan hitam viral	telur, gula pasir, sp, tepung ketan, baking powder, margarin, minyak sayur, santan instan merk santan kara, cream cheese merk spready, kental manis	campur bahan a mixer cepat adon kembang putih jejak. masuk bahan b aduk spatula campur. masuk bahan c adukaduk pasti campur. isi campur cream cheese skm. aduk tips banyak skm isi leleh kukus. siap kukus panaskann. tuang adon loyang. kukus adon. matang angkat sebentar pasu isi cream cheese tuang kue. timpa adon. masuk kukus tunggu benarbenar matang. tanda tusuk tusuk adon tempel selamat coba
kue lapis cokelat vanilla	santan, lembar daun pandan, vanilli, g gula pasir, garam, g tepung tapioka, tepung beras, g cokelat bubuk, cokelat pasta, warna putih skip	rebus santan gula pasir. vanilli. garam. daun pandan didih. dingin santan dingin ya. campur tepung dalam santan aduk campur saring. adon. satu tambah bubuk cokelat cokelat pasta aduk campur sisih panas kukus. siap loyang ukur xx oles minyak tipis. tuang adon warna cokelat. kukus menit. tuang adon putih layer cokelat timpa layer putih. laku adon habis layer kukus menit tanak. dingin keluar loyang potong sesuai selera. kue lapis cokelat nikmat
bika ambon gluten free	gram tepung tapioka rose brand, gram tepung beras rose brand, gram gula pasir, vanili susu la rome, garam, ragi instan, gula pasir, air hangat, santan rose brand, batang serai, lembar daun jeruk buang tulang daun, ruas kunyit parut, lembar daun pandan, telur ayam, margarin rose brand cair	siap bahanbahannya. masak santan. daun jeruk. daun pandan. serai geprek kunyit parut. saring. tunggu uap panas hilang biang. campur air hangat. gula pasir ragi aduk. wadah tuang tepung beras rose brand. tepung tapioka rose brand. gula pasir. vanili susu larome garam aduk tuang santan saring aduk. tambah kocok telur aduk leleh margarin rose brand. didih tunggu uap panas hilang. tuang margarin rose brand leleh aduk. resting adon menit. menit. panas teflon. lapis wajan gosong. tuang adon penuh masak matang. atas set kuas margarin rose brand balik sebentar posisi api mati. saji
bolu ketan lumer	telur, gula pasir, larome vanila cair, tepung ketan hitam, jumput garam, baking powder, minyak sayur, palmia butter margarin leleh, santan kara, bungkus keju oles, air suka skm silah ganti, tetes larome vanilla	campur bahan isi aduk masuk plastik segitiga. mikser bahan a kental jejak. masuk bahan b. aduk perlahan masuk bahan c aduk. panas kukus. tuang adon. kukus menit garis lingkar adon sesuai loyang ambil tengah sendok isi keju tuang sisa adon. kukus menit matang pakai loyang uk ya biar. jd pendek
brownies shiny crust	darck chocolate compound, margarine, minyak sayur, gula halus, telur, tepung terigu protein, cokelat bubuk, topping almond sesuai selera	campur bahan a. tim cair. sisih. campur bahan b. aduk gula larut. tambah bahan a yg sdh cair. aduk. masuk bahan c yg ayak aduk. siap loyang. alas dgn baking paper oles mentega tipis. tuang adon. tambah topping sesuai selera me akmond iris. panas oven dgn suhu c. masuk loyang yg isi adon. panggang kurleb menit ato matang bentuk crust
choco cheese chewy brownies	dark cooking chocolate, cokelat bubuk kualitas bagus, telur ukur, gula pasir halus, tepung protein rendah, susu bubuk, tepung maizena, choco chips amp keju parut	siap bahan. panas oven suhu c leleh butter. panaspanas masuk dark cooking chocolate. adukaduk leleh. sisih. kocok telur gula pasir putih kembang mixer cepat menit mati mixer masuk tepung terigu. tepung maizena. susu bubuk. cokelat bubuk ayak. aduk pakai spatula. tambah butter cokelat leleh. aduk. masuk loyang kotak x alas kertas roti tabur topping sukasuka. oven matang sesuai oven masingmasing. matang. tunggu suhu ruang potong
bolu ketan hitam keju	g bola deli gula halus, btr telur, cake emulsifier, vanilla cair, g bola deli tepung ketan, g tepung ketan hitam, cokelat bubuk, baking powder, santan, minyak goreng, g bola deli gula halus, g bola deli tepung ketan, g keju spread keju oles, btr telur, vanilla cair	campur bahan a kocok menental jejak. masuk bahan b aduk. masuk bahan c aduk. tuang adon cetak plastik poles margarin. kukus menit. campur bahan cheese aduk campur. masuk plastic segitiga. tuang atas bolu matang. tuang cetak timpa adon ketan penuh. kukus kue menit matang. matang. buka kue cetak saji
bolu kukus cokelat	gram cokelat bubuk, gram tepung terigu serbaguna, baking powder, vanili bubuk, telur, gula pasir, jumput garam, air hangat, sachet skm cokelat, minyak goreng, margarin oles loyang, chocochip	siap bahanbahan campur cokelat bubuk. tepung terigu. baking powder vanili saring. wadah. campur telur. gula garam kocok gula larut. masuk campur tepung aduk campur. larut skm air hangat. tuang dalam adon aduk campur. minyak goreng dalam adon aduk siap loyang oles margarin. tuang adon dalam loyang hentakhentakkan gelembung udara. tabur chocochip adon. kukus menit tes tusuk lidi sumpit. adon tempel matang pindah bolu saji
kastengel gluten free	g bola deli gula halus, g butter, btr telur, g bola deli tepung beras, g bola deli tepung ketan, bola deli tepung maizena, g keju cheddar parut, kuning telur, minyak goreng, kental manis putih, batang keju cheddar parut	kocok bahan a campur. masuk bahan b tahap aduk adon bentuk. gilas adon bentuk kotak. susun loyang poles margarin alas kertas roti. campur bahan poles. poles atas kue topping keju cheddar parut. oven kue menit suhu derajat api. matang. angkat kue dingin. simpan kastengel toples kedap udara
bolu susu kukus mes	telur, gula pasir, sp, mes cokelat, tepung terigu, baking powder, susu bubuk cokelat, susu uht, minyak goreng	mixer cepat. telur. gula sp putih jejak. turun cepat mixer rendah masuk tepung terigu. susu bubuk cokelat baking powder masuk susu minyak goreng. aduk. mati mixer. isi air kukus biar didih. bungkus tutup kukus serbet bersih. oles cetak minyak. masuk adon cetak. tambah tabur cokelat mes kukus menit api. mati api. angkat. bolu cokelat kukus mes saji
brownies ketan hitam choco chip	telur, gula pasir, susu uht, minyak sayur, tepung ketan hitam, tepung terigu pro rendah, cokelat bubuk, soda kue, baking powder	campur telur. gula pasir. susu uht. minyak sayur aduk campur. tambah tepung ketan hitam. tepung terigu. cokelat bubuk. soda kue baking powder. aduk adon campur. saji. tabur cetak choco chip tuang adon. kukus menit panas kukus bungkus tutup kukus serbet angkat matang
bolu susu cokelat kukus dcc	telur, gula pasir, sp, potong cokelat dcc, tepung terigu, baking powder, susu bubuk cokelat, susu uht, minyak goreng	mixer cepat. telur. gula sp putih jejak. turun cepat mixer rendah masuk tepung terigu. susu bubuk cokelat baking powder masuk susu minyak goreng. aduk. mati mixer. isi air kukus biar didih. bungkus tutup kukus serbet bersih. oles cetak minyak. masuk adon cetak. tambah potong dcc kukus menit api. mati api. angkat. bolu cokelat kukus dcc saji
bolu marmer cokelat lumer	telur, gula pasir, sp, mentega cair, pasta cokelat, selai cokelat, tepung terigu, susu bubuk, baking powder	kocok gula. telur sp speed kencang kembang kental jejak. turun speed pelan. masuk bahan tepung ayak. ambil sendok adon. tambah pasta cokelat. aduk. masuk adon loyang. masuk adon cokelat. tambah pasta cokelat tuang adon sisa loyang habis. panggang matang menit
kue soes spkitchen	air, gram gula pasir, gram margarin sy pakai blueband, gram tepung terigu protein segitiga biru, telur	panci masuk air gula margarin. masak didih. didih. masuk tepung terigu mati kompor aduk cepat tepung didih air margarin adon campur. campur. nyala kompor api aduk padat mati kompor pindah adon wadah dingin. adon dingin. masuk telur satu mixer campur masuk pipping bag. cetak panggang. bentuk wadahtalang panggang oven suhu derajat menit turun suhu panggang menit total panggang menit letak adon kulit soes rak oven. selesai. keluar oven pindah cooling rak biar dingin semprit isi soes pakai cream filling beli toko oren
bolu kukus ketan hitam	bahan a, telur ayam, gula pasir, sp, bahan b, gram tepung ketan hitam, bahan c, minyak goreng, santan, bahan d, keju oles, skm putih	panas kukus api oles cetak minyak aduk bahan d masuk piping bag. mixer bahan a kembang. kental jejak menit. masuk bahan b. aduk pelan spatulla. masuk bahan c. aduk perlahan lahan. kukus adon menit menit. masuk keju oles sisa adon kukus menit bolu hidang
moo moo roll cake	btr telur, gula pasir rose brand, tepung terigu pro rendah, sp, tepung maizena rose brand, susu bubuk, margarin rose brand cair, cokelat bubuk, whipping cream bubuk, air es	campur telur. gula pasir. tepung maizena. sp. susu bubuk mixer kental jejak. masuk margarin cair. aduk. ambil adon tambah cokelat bubuk. aduk. tuang acak loyang yg alas kertas baking oven menit. tuang adon putih atas nya. oven matang. kurleb menit suhu dercel sesuai oven. kocok whippcream air es kembang. lepas kertas roti oles whippcream. gulung lali simpan kulkas set. potong dingin
bolu jerman cokelat metode all in one	kuning telur, putih telur, gram mentega cair, gram gula pasir, gram tepung terigu, gram maizena, gram cokelat bubuk, sp, pasta cokelat	siap bahan campur telur gula garpu. sisih. ayak terigu. sp. cokelat bubuk. maizena campur telurgula aduk sebentar. mixer cepat menit. rendah menit. masuk mentega cair. aduk. tuang adon loyang oles mentega tabur terigu tipistipis. panggang suhu c menit tes tusuk oven panas. keluar loyang. saji
brownies burnt cheese cake ekonomis	dcc, margarin, gula pasir, telur, vanilla cair, tepung terigu, cokelat bubuk, keju oles, yoghurt original, gula pasir, vanilla cair, telur, maizena	leleh dcc margarin. sisih. masuk telur. gula vanilla wadah. aduk gula cair tuang campur dcc margarin. aduk. tambah tepung terigu cokelat bubuk saring. aduk campur. siap loyang ukur x. oles margarin baking paper tuang adon brownies. sisih. wadah pisah. masuk keju oles. yoghurt gula. aduk campur. tambah telur vanilla. aduk campur. saring adon bergerindil tuang adon brownies panggang oven panas. suhu derajat celciusselama menit matang burnt. sesuai oven. cek matang cheese cake. matang. dingin simpan chiller minimal jam potong hidang
bolu karamel kukus	bahan a, gula pasir, air panas, margarine, tepung terigu pro, tepung tapioka, baking soda, baking powder, bungkus vanili bubuk, bahan c, telur, sachet keci kental manis	bahan a masak gula api leleh. gula leleh masuk air panas aduk tambah margarine aduk leleh. angkat dingin. bahan c kocok telur garpu busa tambah kental manis bahan b dalam kocok telur ayak. aduk. masuk bahan a perlahan. aduk campur. oles loyang margarineminyak goreng tabur tepung terigu tipis. tuang adon loyang saring tdk adon yg gumpal. masuk dalam kukus yg panas api. tutup kukus lapis kain serbet. kukus menit masak. laku tes tusuk. angkat dingin. tunggu dingin potong
kue ku anggur	g bola deli tepung beras ketan, g ubi kukus, halus, g gula pasir, vanilla essence, air hangat, g kacang hijau kupas, g gula pasir, air, vanilla essence, daun pandan, g butter, warna ungu, warna hijau, daun pisang, minyak goreng	rendam kacang hijau kupas jam. kukus menit blender air halus. masak kacang hijau gula. air. pandan. vanilla essence butter aduk masak kental diam dingin. bulatbulatkan adon kacang hijau gram. laku habis. campur bahan kulit. ulen lengket. ambil adon. warna hijau. sisa adon warna ungu. ambil adon kulit gram. isi kacang hijau bulat adon. laku habis letak daun pisang poles minyak goreng susun buah anggur. bentuk daun adon hijau. letak atas kue ku anggur. kukus menit. buka tutup kukus menit. angkat saji kue ang ku
bolu cokelat panggang	telur, gula pasir, tepung terigu, cokelat bubuk tulip, maizena rose brand, sp, mentega, minyak goreng, sachet skm	siap timbang bahan. cair mentega minyak goreng. kocok telur gula pasir kembang. masuk bahan kering. mixer campur masuk sp. mixer kembang. masuk bahan. aduk spatula oles loyang margarin masuk adon oven matang. lupa tes tusuk bolu matang. saji
nagasari gulung	g bola deli tepung beras, g bola deli tepung tapioka, g gula pasir, santan, garam, pisang raja pisang pok, wijen hitam sangrai, warna merah, warna hijau	campur bahan nagasari kecuali bola deli tepung tapioka. aduk masak gumpal kalis. tambah bola deli tepung tapioka aduk. adon warna merah. bagi. warna hijau satu biar putih. masuk masingmasing adon plastik segitiga. siap lembar daun pisang. poles minyak goreng. gunting adon unjung tekan adon merah atas daun pisang panjang lapis. seling bawah tuang adon putih lapis tuang adon hijau lapis. pisang atas adon gulung. laku adon habis. kukus adon menit matang wijen hitam warna merah. saji
bolu keju panggang lembut	keju oles, susu uht, margarin, telur, gula pasir, sp, vanili, tepung terigu, maizena, susu bubuk, baking powder	panas air leleh keju susu uht. masuk margarin cair aduk campur sisih. mixer telur gula masuk sp. mixer putih jejak. masuk tepung terigu. susu bubuk. maizena. baking powder. vanili. masuk leleh keju dll aduk. tuang loyang oles margarin tabur tepung terigu. bawah alasain baking paper. masuk oven panas. oven suhu c dgn api menit sesuai dgn oven. tes tusuk matang
cheese cake gluten free	g bola deli gula halus, g bola deli tepung beras, g bola deli tepung ketan, g bola deli maizena, g susu bubuk, btr telur utuh, btr kuning telur, cake emulsifier, vanilla essens, g butter cair, g rich crme whipcream pakai, g cream cheese, simple syrup, keju cheddar parut, buah cherry	campur bahan sponge kecuali butter cair. mixer kembang. tuang butter cair aduk. siap buah loyang diameter. poles margarin dasar loyang kertas roti. tuang adon masingmasing loyang. rata oven suhu derajat menit. angkat dingin. mixer bahan filling campur. sisih. siap alas kue. sponge cake siram simple syrup atas filling cream cheese tabur cheddar. tutup sponge cake satu. tutup kue cream cheese muka. tabur cheddar parut hias buah cherry
chocolate coffee chiffon cake tepung gluten free	kuning telur, minyak sayur, susu cair, vanili bubuk, jumput garam, tepung mocaf, tepung maizena, cokelat bubuk, putih telur, air jeruk nipis, gula pasir, gula kelapa organik, pasta kopi kopi bubuksdt air panas, almond cincang optional	siap bahan timbang sesuai takar resep campur tepung mocaf. tepung maizena. cokelat bubuk. aduk panas oven suhu c api menit alas loyang baking paper loyang oles. campur kuning telur. minyak. susu. vanili. aduk whisk campur masuk campur tepung ayak. aduk sisih. mixer cepat putih telur air jeruk nipis busa masuk gula tahap adon kembang jambul ambil adon putih telur. masuk adon kuning telur. aduk lipat campur masuk adon kuning telur adon putih telur. tambah pasta kopi. aduk masuk almond pakai aduk sebentar tuang adon chiffon loyang. hentakhentakan. panggang menit. sesuai oven pakai. dingin suhu ruang chiffon cake keluar loyang dipotongpotong
fudgy brownies shiny crust	dark cooking chocolatedcc, butter, minyak, telor, gula, vanilla ekstrak, terigu pro, cokelat bubuk, garam, tabur mini choco chips	wadah. campur dcc. butter. minyak tim cokelat leleh. aduk campur sisih wadah. campur gula. telor. vanilla ekstrak kocok mikser cepat rendah menit gula larut. masuk campur dcc. kocok mikser cepat rendah detik masuk ayak tepung terigucoklat bubukgaram. masuk ayak tepung terigucoklat bubukgaram aduk spatula tuang loyang alas kertas roti. tabur mini choco chips panggang oven suhu c menit matang keluar brownies loyang. potongpotong sesuai selera brownies saji nikmat
bolu labu kuning gula aren gluten free sp baking powder baking soda	gram labu kuning berat kukus halus, gram tepung mocaf ganti tepung tiwul gaplek, sachet susu bubuk sy etta goat milk, telur, gram gula aren halus, air jeruk nipis ganti vanili, coconut oil bs ganti muk goreng kwalitas bagus	wadah masuk gula aren. telur. air jeruk nipis mixer cepat jejak. mati mixer. masuk tepung. susu bubuk aduk pelan spatula aduk pelan adon susut. masuk labu kukus aduk pelan. masuk minyak aduk pelan aduk endap minyak dasar wadah. panas oven. masuk adon loyang yg alas kertas roti. pakai loyang ukur loyang tulban diameter panggang suhu api menit matang kukus api matang terimakasih selamat coba
brownies keju karamel	gula pasir, air, keju oles, gula pasir, vanili cair, telur, tepung maizena, susu cair, minyak, bungkus brownis instan aq pake merk haan, telur, minyak	panas gula dgn api tunggu cair putar sampe gula larut. klo sdh larut kecil api tambah air aduk tuang loyang aq loyang dikit ya jd nnti pake yg dr. cheese masuk keju oles. gula. telur. vanili aduk tambah susu. maizena. minyak aduk saring. tuang karamel yg sdh set kukus kurleb menit dgn api cenderung. brownies masuk telur. brownies instan minyak aduk. tuang lapis keju. kukus kurleb menithingga matang
donat bintang tiramisu cokelat	tepung terigu protein, tepung maizena rose brand, margarin rose brand, btr telur, gula pasir rose brand, ragi instan me fermipan, air es, margarin rose brand, garam, minyak goreng rose brand, glaze tiramisu, glaze cokelat	siap bowl masuk tepung terigu. tepung maizena rose brand. susu bubuk. telur. gula pasir rose brand ragi aduk tuang airsusu cair tekstur pas ulen mixer kalis. adon kalis. masuk garam margarin rose brand ulen mixer elastis. cek window pane. adon bentang tipis. mudah sobek. tanda adon. potongpotong timbang adon sesuai selera rounding bulat adon padat mulus. selesai. tutup adon serbet bersih. diam menit. menit. ambil adon urut rounding tepung lengket goreng tekan buang gas adon. cetak bintang membentukknya rapi letak adon atas kertas roti. mudah goreng. laku habis. tutup adon serbet bersih. proofing menit kembang x lipat. adon. panas minyak rose brand wajan. goreng minyak panas. api minyak panas. masuk satu donat. goreng cokelat. sisi cokelat. . goreng cokelat. angkat tiris atas kertas minyak tisu dapur. dingin. seelah dingin. topping glaze tiramisu seluruh muka beei motif bulat bulat susun gar lidi ujung bintang tengah. . laku semua sisi motif bentuk bunga
cenil klanting	tapioka, tepung terigu protein rendah, garam, air panas, essens warna makan, gulmer, gula pasir, air, maizena air, daun pandan, kelapa parut, jumput garam, daun pandan	tabur kukus bahan tabur menit. kinca rebus gula merah. gula pasir air larut didih tuang larut maizena aduk kental. cenil campur bahan kering. tuang air panas ulen bentuk. adon. warna merah. hijau. kuning aduk. ambil adon. pilin panjang laku habis. didih air daun pandan ikat simpul masuk cenil. masak matangmengapung tiris. saji guling cenil kelapa parut. siram kuah kinca
bolu ketan hitam keju lumer	gram keju prochiz spready, kental manis, tepung ketan hitam, gula pasir opsional, sp, minyak goreng, santan bubuk, jumput vanili bubuk, telor	tuang gula pasir. telur sp mixer dgn cepat menit sampe putih kental jejak. masuk tepung ketan hitam. vanili bubuk. santan bubuk minyak goreng aduk dgn spatula. panas kukus. tutup panci bungkus serbet bersih oles cetak dgn minyak goreng. tuang adon cetak. kukus menit. adon keju lumer. tambah adon. hentak an udara nya. kukus menit
bolu pandan jadul chocochip	telur, sp, gula halus, ayak, tepung terigu, maizena, garam, margarin, leleh, pasta pandan, chocochip, tabur tepung	mixer telur gula sp kental jejak masuk ayak tepung terigu maizena garam mixer sebentar campur. masuk leleh margarin pakai metode pancing aduk adon spatula tambah pasta pandan aduk tambah choco chip aduk choco chip tepung tenggelam matang. siap loyang oles tipis margarin alas baking paper oven adon menit suhu derajat celcius sesuai oven masingmasing lupa panas oven menit dingin dipotongpotong
bolu cokelat kukus	tepung terigu protein, gula pasir, cokelat van houten, sachet skm cokelat, resep asli sachet skm putih, telur, sp, baking powder, vanila cair, minyak goreng, bahan carlo oles loyang, tepung terigu, minyak goreng, minyak goreng	wadah pisah tepung terigu. cokelat bubuk baking powder ayak sisih. wadah. masuk gula pasir. telur. sp vanila cair mixer berjenjak putih. tambah minyak goreng. susu. mixer cepat rendah rata. tuang loyang oles karlo. rata. panas panci kukus. masuk. kukus menit. api cenderung masak matang tampak. saji
raisin chocochip cookies	terigu segitiga biru, cokelat bubuk vanhouten, maizena, blue band cokies, butter, gula halus, palm sugar, btr kuning telur, sachet susu bubuk, baking powder, vanili, kismis, choco chip	mixer gula. margarin. telur. vanili. butter. campur aja. terigu yg campur dgn maizena. susu bubuk dn baking powder. masuk terigu cokelat bubuk yg ayak serta baking powder. masuk tahap. masuk choco chip dn kismis. aduk. cetak. ambil adon dgn sendok. jarak adon. panggang dlm oven yg panas matang. sesuaikn dgn oven ya. angkat dn angin masuk dlm toples. masukkn dlm toples
bika ambon khas medan	tepung kunci, tepung ketan, tepung sagutapioka, ragi instan, santan kental, air, lembar daun jeruk, lembar daun pandan, batang serai tambah dr sy, kunyit bubuk, garam, telur kurleb telur, gula pasir	masak bahan cair didih diam hangat. ayak bahan kering tuang bahan cair aduk yg bergerindil diam menit busa. menit. adon buih busa. mixer telur gula pasir kembang kental. full speed menit. masuk bahan campur santan tepung yg diam busa. aduk. keplok balon whisk menit. bentuk gluten. diam jam. menit jam. panas oven loyang kosongdioles minyak suhu c api. jam. metode panggang dlm oven loyang. tuang adon dalam loyang. adon tuang. panggang dlm oven dgn pintu buka ganjal sendok pic menit dgn api. rak menit. pindah loyang rak. turun suhu c panggang menit api pintu tutup. keluar oven. dingin potongpotong saji
putu ayu pandan wangi	btr telur, gula pasir me, tepung terigu, sp, santan cair me santan instan air, daun suji daun pandan, kelapa muda parut, cukup nya garam, cukup nya minyak goreng bagus	kukus kelapa parut menit tambah daun pandan. oles cetak kue putu minyak bagus tipis. blender daun pandan daun suji air halus. saring campur santan. mixer telur. gula sp putih kembang. turun speed mixer. masuk tepung terigu air daun santan. siap cetak masuk kelapa parut. tekan padat. cetak isi kelapa. masuk adon penuh cetak. siap kukus tutup lapis serbet tunggu uap. masuk cetak dandang api cenderung kukus menit. menit. buka kukus. mati api kompor angkat cetak capit angin tunggu hangat lepas dr cetak selamat makan
donat maizena black forest	terigu protein, bubuk cokelat, maizena, esens black forest, telor, gula, ragi, air es, margarin, garam	campur terigu. bubuk cokelat maizena. masuk gula. ragi esens black forest. masuk air ulen sebentar. tambah margarin garam. ulen kalis. bulat adon tutup kain. diam mnt. kembang bentuk lobangi nya. tutup diam mnt. goreng api
chiffon pandan loyang kertas	kuning telor, sdk makan gula pasir, sdk teh garam, santan isntan pakai bgkus merk sasakara, terigu, minyak sayur, tetes pasta pandan, tetes pasta cokelat, gula pasir pakai aja, ga suka manis, putih telor, sdk teh cream of tar tar ganti sdk makan air jeruk nipis, lotang kertas persegi ukur xxcm	wadah a masuk kuning telor. sdk mkn gulapasir. santan minyak sayur. garam aduk dsn campur masuk terigu. tambah tetes pasta pandan tetes pasta cokelat aduk sisih. wadah b. mixer menit putih telor cream of tartar. tambah gula pasir mixer sd soft pick wadah balik adon tumpah. . masuk adon wadah b putih telor wadah a aduk. tuang adon loyang kertas ovensaya pakai oven tangkring mnit api. angkat pasti dgn tes tusuk. matang tusuk sdh adon yg tempel. biar dingin. kue chiffon potong utk hidang
lumpur surga	telur, gula pasir, santan cair santan instan, air, tepung terigu, lembar pandan, air, santan cair santan kental, air, maizena, tepung beras, gula pasir, jumput garam	blender pandan air. saring ambil air sisih. campur telur. gula. aduk gula larut aduk kocok telur. pakai mixer. masuk tepung terigu. aduk. masuk santan air pandan aduk. saring adon hasil halus. masuk cetak. kukus menit. sisih. fla santan. campur bahan adon fla santan. saring adon fla santan bersih halus. masak api kental. sisih. tambah fla bahan kukus. tunggu dingin. hidang
martabak lumpia telur	lembar kulit lumpia, daun bawang, tauge, telur, sedap garam, minyak	kocok telur daun bawang tauge kol. sayur bayam. masuk garam sedap. aduk campur rata. tuang minyak pan. taruh lembar kulit lumpia. tuang telur sayur campur. baru nyala api. timpa lembar kulit lumpia. tekan tekan tempel. goreng matang
